date,open_x,high_x,low_x,close_x,volume_x,average_x,open_y,high_y,low_y,close_y,volume_y,average_y
11/2/2017,56.73,56.73,56.73,56.73,0,56.73,51.32,51.32,51.32,51.32,0,51.32
11/3/2017,56.84,56.84,56.84,56.84,0,56.84,51.39,51.39,51.39,51.39,0,51.39
11/6/2017,57.26,57.26,57.26,57.26,0,57.26,51.07,51.07,51.07,51.07,0,51.07
11/7/2017,57.4,57.4,57.4,57.4,0,57.4,51.43,51.43,51.43,51.43,0,51.43
11/8/2017,58.17,58.17,58.17,58.17,0,58.17,52.22,52.22,52.22,52.22,0,52.22
11/9/2017,58.39,58.39,58.39,58.39,0,58.39,52.26,52.26,52.26,52.26,0,52.26
11/10/2017,58.92,58.92,58.92,58.92,0,58.92,52.71,52.71,52.71,52.71,0,52.71
11/13/2017,59.2,59.2,59.2,59.2,0,59.2,53.23,53.23,53.23,53.23,0,53.23
11/14/2017,58.02,58.02,58.02,58.02,0,58.02,52.43,52.43,52.43,52.43,0,52.43
11/15/2017,58,58,58,58,0,58,52.23,52.23,52.23,52.23,0,52.23
11/16/2017,57.16,57.16,57.16,57.16,0,57.16,51.14,51.14,51.14,51.14,0,51.14
11/17/2017,57.06,57.06,57.06,57.06,0,57.06,50.88,50.88,50.88,50.88,0,50.88
11/20/2017,56.58,56.58,56.58,56.58,0,56.58,50.6,50.6,50.6,50.6,0,50.6
11/21/2017,56.38,56.38,56.38,56.38,0,56.38,50.28,50.28,50.28,50.28,0,50.28
11/22/2017,56.38,56.38,56.38,56.38,0,56.38,50.23,50.23,50.23,50.23,0,50.23
11/24/2017,56.56,56.56,56.56,56.56,0,56.56,50.45,50.45,50.45,50.45,0,50.45
11/27/2017,56.95,56.95,56.95,56.95,0,56.95,51,51,51,51,0,51
11/28/2017,57.08,57.08,57.08,57.08,0,57.08,51.15,51.15,51.15,51.15,0,51.15
11/29/2017,56.98,56.98,56.98,56.98,0,56.98,51.39,51.39,51.39,51.39,0,51.39
11/30/2017,56.97,56.97,56.97,56.97,0,56.97,51.38,51.38,51.38,51.38,0,51.38
12/1/2017,57.12,57.12,57.12,57.12,0,57.12,51.23,51.23,51.23,51.23,0,51.23
12/4/2017,56.97,56.97,56.97,56.97,0,56.97,51.38,51.38,51.38,51.38,0,51.38
12/5/2017,57.32,57.32,57.32,57.32,0,57.32,51.48,51.48,51.48,51.48,0,51.48
12/6/2017,56.69,56.69,56.69,56.69,0,56.69,51.14,51.14,51.14,51.14,0,51.14
12/7/2017,57.32,57.32,57.32,57.32,0,57.32,51.61,51.61,51.61,51.61,0,51.61
12/8/2017,57.56,57.56,57.56,57.56,0,57.56,51.61,51.61,51.61,51.61,0,51.61
12/11/2017,57.79,57.79,57.79,57.79,0,57.79,51.7,51.7,51.7,51.7,0,51.7
12/12/2017,57.04,57.04,57.04,57.04,0,57.04,51.35,51.35,51.35,51.35,0,51.35
12/13/2017,55.81,55.81,55.81,55.81,0,55.81,50.32,50.32,50.32,50.32,0,50.32
12/14/2017,56.13,56.13,56.13,56.13,0,56.13,50.42,50.42,50.42,50.42,0,50.42
12/15/2017,55.91,55.91,55.91,55.91,0,55.91,50.07,50.07,50.07,50.07,0,50.07
12/18/2017,56.72,56.72,56.72,56.72,0,56.72,50.72,50.72,50.72,50.72,0,50.72
12/19/2017,57.24,57.24,57.24,57.24,0,57.24,51.21,51.21,51.21,51.21,0,51.21
12/20/2017,57.05,57.05,57.05,57.05,0,57.05,51.08,51.08,51.08,51.08,0,51.08
12/21/2017,57.25,57.25,57.25,57.25,0,57.25,51.16,51.16,51.16,51.16,0,51.16
12/22/2017,57.63,57.63,57.63,57.63,0,57.63,51.52,51.52,51.52,51.52,0,51.52
12/26/2017,58.2,58.2,58.2,58.2,0,58.2,51.9,51.9,51.9,51.9,0,51.9
12/27/2017,58.32,58.32,58.32,58.32,0,58.32,52.24,52.24,52.24,52.24,0,52.24
12/28/2017,58.43,58.43,58.43,58.43,0,58.43,52.37,52.37,52.37,52.37,0,52.37
12/29/2017,57.86,57.86,57.86,57.86,0,57.86,52.14,52.14,52.14,52.14,0,52.14
1/2/2018,57.89,57.89,57.89,57.89,0,57.89,51.96,51.96,51.96,51.96,0,51.96
1/3/2018,57.97,57.97,57.97,57.97,0,57.97,52.05,52.05,52.05,52.05,0,52.05
1/4/2018,57.82,57.82,57.82,57.82,0,57.82,52.09,52.09,52.09,52.09,0,52.09
1/5/2018,58.04,58.04,58.04,58.04,0,58.04,52.4,52.4,52.4,52.4,0,52.4
1/8/2018,58.52,58.52,58.52,58.52,0,58.52,52.86,52.86,52.86,52.86,0,52.86
1/9/2018,58.89,58.89,58.89,58.89,0,58.89,53.23,53.23,53.23,53.23,0,53.23
1/10/2018,58.6,58.6,58.6,58.6,0,58.6,52.99,52.99,52.99,52.99,0,52.99
1/11/2018,58.56,58.56,58.56,58.56,0,58.56,53.09,53.09,53.09,53.09,0,53.09
1/12/2018,58.8,58.8,58.8,58.8,0,58.8,53.18,53.18,53.18,53.18,0,53.18
1/16/2018,58.98,58.98,58.98,58.98,0,58.98,53.24,53.24,53.24,53.24,0,53.24
1/17/2018,59.28,59.28,59.28,59.28,0,59.28,53.52,53.52,53.52,53.52,0,53.52
1/18/2018,59.46,59.46,59.46,59.46,0,59.46,53.77,53.77,53.77,53.77,0,53.77
1/19/2018,59.52,59.52,59.52,59.52,0,59.52,54.07,54.07,54.07,54.07,0,54.07
1/22/2018,59.71,59.71,59.71,59.71,0,59.71,54.18,54.18,54.18,54.18,0,54.18
1/23/2018,59.92,59.92,59.92,59.92,0,59.92,54.4,54.4,54.4,54.4,0,54.4
1/24/2018,59.1,59.1,59.1,59.1,0,59.1,53.86,53.86,53.86,53.86,0,53.86
1/25/2018,58.89,58.89,58.89,58.89,0,58.89,54.04,54.04,54.04,54.04,0,54.04
1/26/2018,58.54,58.54,58.54,58.54,0,58.54,53.93,53.93,53.93,53.93,0,53.93
1/29/2018,57.99,57.99,57.99,57.99,0,57.99,53.56,53.56,53.56,53.56,0,53.56
1/30/2018,57.4,57.4,57.4,57.4,0,57.4,52.94,52.94,52.94,52.94,0,52.94
1/31/2018,57.38,57.38,57.38,57.38,0,57.38,52.75,52.75,52.75,52.75,0,52.75
2/1/2018,57.4,57.4,57.4,57.4,0,57.4,52.74,52.74,52.74,52.74,0,52.74
2/2/2018,56.57,56.57,56.57,56.57,0,56.57,51.78,51.78,51.78,51.78,0,51.78
2/5/2018,56.39,56.39,56.39,56.39,0,56.39,51.44,51.44,51.44,51.44,0,51.44
2/6/2018,56.2,56.2,56.2,56.2,0,56.2,51.19,51.19,51.19,51.19,0,51.19
2/7/2018,56.19,56.19,56.19,56.19,0,56.19,50.56,50.56,50.56,50.56,0,50.56
2/8/2018,56.48,56.48,56.48,56.48,0,56.48,50.59,50.59,50.59,50.59,0,50.59
2/9/2018,55.99,55.99,55.99,55.99,0,55.99,50.05,50.05,50.05,50.05,0,50.05
2/12/2018,55.98,55.98,55.98,55.98,0,55.98,50.28,50.28,50.28,50.28,0,50.28
2/13/2018,56.38,56.38,56.38,56.38,0,56.38,50.97,50.97,50.97,50.97,0,50.97
2/14/2018,56.36,56.36,56.36,56.36,0,56.36,50.94,50.94,50.94,50.94,0,50.94
2/15/2018,56.41,56.41,56.41,56.41,0,56.41,50.9,50.9,50.9,50.9,0,50.9
2/16/2018,56.61,56.61,56.61,56.61,0,56.61,51.19,51.19,51.19,51.19,0,51.19
2/20/2018,57.11,57.11,57.11,57.11,0,57.11,51.79,51.79,51.79,51.79,0,51.79
2/21/2018,57.13,57.13,57.13,57.13,0,57.13,51.83,51.83,51.83,51.83,0,51.83
2/22/2018,57.32,57.32,57.32,57.32,0,57.32,51.97,51.97,51.97,51.97,0,51.97
2/23/2018,58.08,58.08,58.08,58.08,0,58.08,52.76,52.76,52.76,52.76,0,52.76
2/26/2018,58.62,58.62,58.62,58.62,0,58.62,53.37,53.37,53.37,53.37,0,53.37
2/27/2018,58.33,58.33,58.33,58.33,0,58.33,52.97,52.97,52.97,52.97,0,52.97
2/28/2018,56.72,56.72,56.72,56.72,0,56.72,51.43,51.43,51.43,51.43,0,51.43
3/1/2018,56.41,56.41,56.41,56.41,0,56.41,51.12,51.12,51.12,51.12,0,51.12
3/2/2018,56.5,56.5,56.5,56.5,0,56.5,51.15,51.15,51.15,51.15,0,51.15
3/5/2018,57.29,57.29,57.29,57.29,0,57.29,51.84,51.84,51.84,51.84,0,51.84
3/6/2018,57.22,57.22,57.22,57.22,0,57.22,51.91,51.91,51.91,51.91,0,51.91
3/7/2018,56.64,56.64,56.64,56.64,0,56.64,51.31,51.31,51.31,51.31,0,51.31
3/8/2018,56.49,56.49,56.49,56.49,0,56.49,51.32,51.32,51.32,51.32,0,51.32
3/9/2018,57.54,57.54,57.54,57.54,0,57.54,52.29,52.29,52.29,52.29,0,52.29
3/12/2018,57.37,57.37,57.37,57.37,0,57.37,52.19,52.19,52.19,52.19,0,52.19
3/13/2018,57.31,57.31,57.31,57.31,0,57.31,52.08,52.08,52.08,52.08,0,52.08
3/14/2018,57.37,57.37,57.37,57.37,0,57.37,52.22,52.22,52.22,52.22,0,52.22
3/15/2018,57.09,57.09,57.09,57.09,0,57.09,52.01,52.01,52.01,52.01,0,52.01
3/16/2018,57.28,57.28,57.28,57.28,0,57.28,51.99,51.99,51.99,51.99,0,51.99
3/19/2018,56.78,56.78,56.78,56.78,0,56.78,51.58,51.58,51.58,51.58,0,51.58
3/20/2018,57.02,57.02,57.02,57.02,0,57.02,51.74,51.74,51.74,51.74,0,51.74
3/21/2018,57.88,57.88,57.88,57.88,0,57.88,52.45,52.45,52.45,52.45,0,52.45
3/22/2018,57.5,57.5,57.5,57.5,0,57.5,52,52,52,52,0,52
3/23/2018,58.03,58.03,58.03,58.03,0,58.03,52.41,52.41,52.41,52.41,0,52.41
3/26/2018,57.91,57.91,57.91,57.91,0,57.91,52.22,52.22,52.22,52.22,0,52.22
3/27/2018,58.3,58.3,58.3,58.3,0,58.3,52.22,52.22,52.22,52.22,0,52.22
3/28/2018,58.27,58.27,58.27,58.27,0,58.27,52.2,52.2,52.2,52.2,0,52.2
3/29/2018,57.96,57.96,57.96,57.96,0,57.96,51.98,51.98,51.98,51.98,0,51.98
4/2/2018,57.11,57.11,57.11,57.11,0,57.11,51.04,51.04,51.04,51.04,0,51.04
4/3/2018,57.66,57.66,57.66,57.66,0,57.66,51.42,51.42,51.42,51.42,0,51.42
4/4/2018,57.67,57.67,57.67,57.67,0,57.67,51.38,51.38,51.38,51.38,0,51.38
4/5/2018,57.79,57.79,57.79,57.79,0,57.79,51.53,51.53,51.53,51.53,0,51.53
4/6/2018,57.16,57.16,57.16,57.16,0,57.16,50.83,50.83,50.83,50.83,0,50.83
4/9/2018,57.24,57.24,57.24,57.24,0,57.24,50.98,50.98,50.98,50.98,0,50.98
4/10/2018,57.81,57.81,57.81,57.81,0,57.81,51.27,51.27,51.27,51.27,0,51.27
4/11/2018,58.36,58.36,58.36,58.36,0,58.36,51.57,51.57,51.57,51.57,0,51.57
4/12/2018,57.85,57.85,57.85,57.85,0,57.85,51.24,51.24,51.24,51.24,0,51.24
4/13/2018,57.79,57.79,57.79,57.79,0,57.79,51.17,51.17,51.17,51.17,0,51.17
4/16/2018,57.62,57.62,57.62,57.62,0,57.62,51.14,51.14,51.14,51.14,0,51.14
4/17/2018,57.5,57.5,57.5,57.5,0,57.5,51.09,51.09,51.09,51.09,0,51.09
4/18/2018,57.69,57.69,57.69,57.69,0,57.69,51,51,51,51,0,51
4/19/2018,58.22,58.22,58.22,58.22,0,58.22,51.18,51.18,51.18,51.18,0,51.18
4/20/2018,58.12,58.12,58.12,58.12,0,58.12,51.12,51.12,51.12,51.12,0,51.12
4/23/2018,58.76,58.76,58.76,58.76,0,58.76,51.45,51.45,51.45,51.45,0,51.45
4/24/2018,58.3,58.3,58.3,58.3,0,58.3,51.01,51.01,51.01,51.01,0,51.01
4/25/2018,58.32,58.32,58.32,58.32,0,58.32,50.9,50.9,50.9,50.9,0,50.9
4/26/2018,58.44,58.44,58.44,58.44,0,58.44,50.93,50.93,50.93,50.93,0,50.93
4/27/2018,58.19,58.19,58.19,58.19,0,58.19,50.59,50.59,50.59,50.59,0,50.59
4/30/2018,58.51,58.51,58.51,58.51,0,58.51,50.75,50.75,50.75,50.75,0,50.75
5/1/2018,58.34,58.34,58.34,58.34,0,58.34,50.46,50.46,50.46,50.46,0,50.46
5/2/2018,57.87,57.87,57.87,57.87,0,57.87,50.41,50.41,50.41,50.41,0,50.41
5/3/2018,58.09,58.09,58.09,58.09,0,58.09,50.86,50.86,50.86,50.86,0,50.86
5/4/2018,58.77,58.77,58.77,58.77,0,58.77,51.53,51.53,51.53,51.53,0,51.53
5/7/2018,59.25,59.25,59.25,59.25,0,59.25,51.86,51.86,51.86,51.86,0,51.86
5/8/2018,58.56,58.56,58.56,58.56,0,58.56,51.4,51.4,51.4,51.4,0,51.4
5/9/2018,60.1,60.1,60.1,60.1,0,60.1,52.21,52.21,52.21,52.21,0,52.21
5/10/2018,60.45,60.45,60.45,60.45,0,60.45,52.56,52.56,52.56,52.56,0,52.56
5/11/2018,60.74,60.74,60.74,60.74,0,60.74,52.75,52.75,52.75,52.75,0,52.75
5/14/2018,61.2,61.2,61.2,61.2,0,61.2,53.08,53.08,53.08,53.08,0,53.08
5/15/2018,61.71,61.71,61.71,61.71,0,61.71,53.51,53.51,53.51,53.51,0,53.51
5/16/2018,62.25,62.25,62.25,62.25,0,62.25,53.39,53.39,53.39,53.39,0,53.39
5/17/2018,62.74,62.74,62.74,62.74,0,62.74,54.01,54.01,54.01,54.01,0,54.01
5/18/2018,63.03,63.03,63.03,63.03,0,63.03,54.08,54.08,54.08,54.08,0,54.08
5/21/2018,63.47,63.47,63.47,63.47,0,63.47,54.46,54.46,54.46,54.46,0,54.46
